date,entry_time,dollar_pnl,win,rolling_wr_k,rolling_wr,cls_h50_l35,exit_reason
2025-12-19,10:40,-166.2,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-19,13:25,-169.6,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-19,15:25,-150.4,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-22,10:50,-226.4,0,15,0.0667,LOW,EXIT_ALL_PREMIUM_STOP
2025-12-23,11:10,1451.2,1,15,0.0667,LOW,TP1_THEN_RUNNER_TIME
2025-12-24,10:35,1076.4,1,15,0.1333,LOW,EXIT_ALL_TIME_STOP
2025-12-26,11:35,-173.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-05,10:35,-212.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-06,10:55,633.0,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2026-01-07,10:40,-227.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-07,11:35,-292.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-09,10:35,-249.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-09,13:05,-196.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-12,12:20,-146.4,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-12,13:15,-141.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-12,13:55,919.0,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2026-01-13,10:35,-191.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-15,12:25,-183.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-15,13:20,-180.0,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-15,14:35,-177.6,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-21,15:10,100.8,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2026-01-22,10:55,-259.2,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-22,12:05,585.8,1,15,0.2,LOW,TP1_THEN_RUNNER_TIME
2026-01-23,11:10,-136.8,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-23,13:05,-189.6,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-26,10:45,-482.24,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-27,10:35,-212.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-28,11:20,-276.8,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-28,12:45,-182.4,0,15,0.2,LOW,EXIT_ALL_PREMIUM_STOP
2026-01-29,11:05,532.8,1,15,0.2,LOW,TP1_THEN_RUNNER_RIBBON
2026-01-30,11:05,543.6,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2026-02-02,11:10,-247.2,0,15,0.2667,LOW,EXIT_ALL_PREMIUM_STOP
2026-02-03,13:05,2198.8,1,15,0.2667,LOW,TP1_THEN_RUNNER_TIME
2026-02-04,10:30,-185.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-02-09,11:05,1949.8,1,15,0.3333,LOW,TP1_THEN_RUNNER_TIME
2026-02-17,10:30,-163.2,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-02-19,13:05,-1174.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-02-20,11:05,-405.6,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-02-26,11:05,958.0,1,15,0.2667,LOW,TP1_THEN_RUNNER_RIBBON
2026-02-27,14:20,-167.4,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-02-27,15:30,360.0,1,15,0.3333,LOW,EXIT_ALL_TIME_STOP
2026-03-02,10:55,-211.8,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-03-06,10:35,246.0,1,15,0.4,MID,TP1_THEN_RUNNER_RIBBON
2026-03-09,11:15,-158.71,0,15,0.4667,MID,EXIT_ALL_RIBBON_FLIP_BACK
2026-03-18,09:40,641.6,1,15,0.4667,MID,TP1_THEN_RUNNER_TARGET
2026-03-19,11:35,-1315.6,0,15,0.4667,MID,EXIT_ALL_PREMIUM_STOP
2026-03-19,13:05,-1236.4,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-03-20,09:50,90.27,1,15,0.4,MID,TP1_THEN_RUNNER_BE_STOP
2026-03-23,13:25,-168.6,0,15,0.4,MID,EXIT_ALL_PREMIUM_STOP
2026-03-23,14:20,-120.0,0,15,0.4,MID,EXIT_ALL_RIBBON_FLIP_BACK
2026-03-24,09:40,-1482.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
2026-03-24,13:10,-1152.8,0,15,0.3333,LOW,EXIT_ALL_PREMIUM_STOP
