date,symbol,underlier,is_spx_family,bias,right,strike,expiry,is_0dte,qty,entry_time,exit_time,hold_min,entry_px,exit_px,pnl,result,status,n_entry_fills
2021-11-08,AMD211112C00165000,AMD,False,bull,C,165.0,2021-11-12,False,4,2021-11-08 11:22:26,2021-11-08 11:48:20,25.9,1.12,1.85,292.0,WIN,closed,1
2021-11-08,AMD211112C00165000,AMD,False,bull,C,165.0,2021-11-12,False,1,2021-11-08 11:22:26,2021-11-08 11:22:26,0.0,1.12,1.12,0.0,LOSS,unclosed,1
2021-11-09,AMC211112C00048000,AMC,False,bull,C,48.0,2021-11-12,False,2,2021-11-09 09:31:36,2021-11-11 11:39:29,3007.9,0.83,0.06,-154.0,LOSS,closed,1
2021-11-11,RBLX211112C00105000,RBLX,False,bull,C,105.0,2021-11-12,False,1,2021-11-11 10:42:37,2021-11-11 11:10:36,28.0,1.05,1.25,20.0,WIN,closed,1
2021-11-11,PLUG211119C00044000,PLUG,False,bull,C,44.0,2021-11-19,False,4,2021-11-11 10:45:17,2021-11-17 09:49:09,8583.9,1.605,1.9,118.0,WIN,closed,2
2021-11-11,SU220318C00030000,SU,False,bull,C,30.0,2022-03-18,False,3,2021-11-11 11:33:26,2021-12-15 14:31:29,49138.1,0.933,0.25,-205.0,LOSS,closed,2
2021-11-11,QCOM211119C00170000,QCOM,False,bull,C,170.0,2021-11-19,False,1,2021-11-11 11:42:38,2021-11-15 09:34:10,5631.5,1.77,2.94,117.0,WIN,closed,1
2021-11-11,AMD211112C00150000,AMD,False,bull,C,150.0,2021-11-12,True,1,2021-11-11 14:01:54,2021-11-12 13:56:24,1434.5,0.56,0.07,-49.0,LOSS,closed,1
2021-11-12,NFLX211119C00710000,NFLX,False,bull,C,710.0,2021-11-19,False,1,2021-11-12 15:28:09,2021-11-17 09:32:57,6844.8,2.6,3.8,120.0,WIN,closed,1
2021-11-15,TTD211119C00110000,TTD,False,bull,C,110.0,2021-11-19,False,1,2021-11-15 09:30:03,2021-11-15 10:20:41,50.6,0.75,1.75,100.0,WIN,closed,1
2021-11-15,TTD211119C00110000,TTD,False,bull,C,110.0,2021-11-19,False,1,2021-11-15 09:30:03,2021-11-15 11:36:13,126.2,0.75,2.73,198.0,WIN,closed,1
2021-11-15,SNDL220121C00001500,SNDL,False,bull,C,1.5,2022-01-21,False,10,2021-11-15 09:30:05,2021-12-06 10:29:02,30299.0,0.13,0.02,-110.0,LOSS,closed,1
2021-11-15,SNDL211231C00001500,SNDL,False,bull,C,1.5,2021-12-31,False,5,2021-11-15 09:30:08,2021-12-06 13:41:15,30491.1,0.11,0.01,-50.0,LOSS,closed,1
2021-11-15,SOFI211119C00025000,SOFI,False,bull,C,25.0,2021-11-19,False,3,2021-11-15 09:48:30,2021-11-15 13:24:28,216.0,0.36,0.17,-57.0,LOSS,closed,1
2021-11-15,SNAP211126C00060000,SNAP,False,bull,C,60.0,2021-11-26,False,2,2021-11-15 09:53:34,2021-11-23 10:15:36,11542.0,0.79,0.01,-156.0,LOSS,closed,1
2021-11-15,RIOT211119C00046000,RIOT,False,bull,C,46.0,2021-11-19,False,1,2021-11-15 10:23:45,2021-11-15 12:28:41,124.9,2.8,1.63,-117.0,LOSS,closed,1
2021-11-15,RBLX211217C00115000,RBLX,False,bull,C,115.0,2021-12-17,False,1,2021-11-15 10:37:42,2021-11-16 11:43:51,1506.2,6.25,11.8,555.0,WIN,closed,1
2021-11-15,BA211119C00240000,BA,False,bull,C,240.0,2021-11-19,False,1,2021-11-15 12:11:34,2021-11-16 10:07:11,1315.6,1.7,0.41,-129.0,LOSS,closed,1
2021-11-15,BABA211126C00185000,BABA,False,bull,C,185.0,2021-11-26,False,1,2021-11-15 13:09:03,2021-11-16 09:33:11,1224.1,1.19,1.6,41.0,WIN,closed,1
