timestamp_et,spy_close,vix,ribbon_stack,ribbon_spread_cents,htf_15m_stack,bear_score,blockers,triggers_fired,rejection_level,passed
2026-05-26T11:50:00-04:00,748.55,16.02,MIXED,66.91872673362695,BULL,7,5|8,level_rejection|confluence,749.131,False
2026-05-26T11:55:00-04:00,748.93,16.0,MIXED,58.406276817527214,BULL,6,5|8|9,level_rejection|confluence,748.94,False
2026-05-26T12:00:00-04:00,749.245,15.98,MIXED,52.50613796198422,BULL,5,5|8|9|10,,,False
2026-05-26T12:05:00-04:00,748.88,15.97,MIXED,45.19530360838644,BULL,7,5|8,level_rejection|confluence,749.131,False
2026-05-26T12:10:00-04:00,748.9,15.95,MIXED,38.783878640276725,BULL,6,5|8|9,level_rejection|confluence,749.131,False
2026-05-26T12:15:00-04:00,749.32,15.94,MIXED,35.35478436322137,BULL,5,5|8|9|10,,,False
2026-05-26T12:20:00-04:00,749.43,15.93,MIXED,32.840109604376266,BULL,5,5|8|9|10,,,False
2026-05-26T12:25:00-04:00,749.74,15.92,MIXED,32.217208731617575,BULL,5,5|8|9|10,,,False
2026-05-26T12:30:00-04:00,749.98,15.93,MIXED,32.85752037951397,BULL,5,5|8|9|10,,,False
2026-05-26T12:35:00-04:00,749.71,15.93,MIXED,31.81609007830275,BULL,6,5|8|9,level_rejection,750.0,False
2026-05-26T12:40:00-04:00,749.2401,15.95,MIXED,28.231346036238847,BULL,4,5|6|8|9|10,,,False
2026-05-26T12:45:00-04:00,748.87,15.94,MIXED,22.996494905316922,BULL,6,5|6|8,level_rejection|confluence,749.131,False
2026-05-26T12:50:00-04:00,749.22,15.94,MIXED,20.26888748109741,BULL,3,5|6|7|8|9|10,,,False
2026-05-26T12:55:00-04:00,749.01,15.94,MIXED,16.680132398721526,BULL,5,5|6|8|9,level_rejection|confluence,749.131,False
2026-05-26T13:00:00-04:00,749.1034,15.96,MIXED,14.009152011794868,BULL,4,5|6|7|8|9,level_rejection|confluence,749.131,False
2026-05-26T13:05:00-04:00,749.12,16.0,MIXED,11.761175229810306,BULL,4,5|6|7|8|9,level_rejection|confluence,749.131,False
2026-05-26T13:10:00-04:00,749.2801,16.0,MIXED,10.672597737971046,BULL,4,5|6|8|9|10,,,False
2026-05-26T13:15:00-04:00,748.81,15.99,MIXED,11.921760802295012,BULL,5,5|6|8|9,level_rejection|confluence,749.131,False
2026-05-26T13:20:00-04:00,748.7301,15.98,MIXED,13.108774868464934,BULL,5,5|6|8|9,level_rejection|confluence,749.0,False
2026-05-26T13:25:00-04:00,748.65,15.97,BEAR,14.411636229579017,BULL,6,6|8|9,level_rejection|ribbon_flip|confluence,748.8,False
